gene_ID,pmid,host_db,has_summary,has_PD
Tb927.10.180,19436713,TriTrypDB,,
Tb927.10.1820,31515389,TriTrypDB,,
Tb927.10.1870,18364347,TriTrypDB,,
Tb927.10.1910,24453978,TriTrypDB,,
Tb927.10.1940,24453978,TriTrypDB,,
Tb927.10.2010,17028241,TriTrypDB,,
Tb927.10.2020,17028241,TriTrypDB,,
Tb927.10.2030,17646387,TriTrypDB,,
Tb927.10.2040,24453978,TriTrypDB,,
Tb927.10.210,20382188,TriTrypDB,,
Tb927.10.2150,30228243,TriTrypDB,,
Tb927.10.2190,37633952,TriTrypDB,,
Tb927.10.2220,14670085,TriTrypDB,,
Tb927.10.2240,26784394,TriTrypDB,,
Tb927.10.2320,26891179,TriTrypDB,,
Tb927.10.2370,1671379,TriTrypDB,,
Tb927.10.240,12709066,TriTrypDB,,
Tb927.10.2410,12707278,TriTrypDB,,
Tb927.10.2440,12062425,TriTrypDB,,
Tb927.10.2440,21949125,TriTrypDB,,
Tb927.10.2520,24267450,TriTrypDB,,
Tb927.10.2550,16321390,TriTrypDB,,
Tb927.10.2560,16321390,TriTrypDB,,
Tb927.10.2590,31515389,TriTrypDB,,
Tb927.10.2640,23990561,TriTrypDB,,
Tb927.10.2750,23525104,TriTrypDB,,
Tb927.10.2800,18364347,TriTrypDB,,
Tb927.10.2860,28049148,TriTrypDB,,
Tb927.10.2880,30171070,TriTrypDB,,
Tb927.10.2880,21685506,TriTrypDB,,
Tb927.10.2890,12869196,TriTrypDB,,
Tb927.10.2900,19525551,TriTrypDB,,
Tb927.10.2920,29474435,TriTrypDB,,
Tb927.10.2970,28414727,TriTrypDB,,
Tb927.10.2970,30288927,TriTrypDB,,
Tb927.10.2990,15743819,TriTrypDB,,
Tb927.10.300,30228243,TriTrypDB,,
Tb927.10.3000,30045883,TriTrypDB,,
Tb927.10.3010,23264645,TriTrypDB,,
Tb927.10.3120,31751595,TriTrypDB,,
Tb927.10.3140,28049148,TriTrypDB,,
Tb927.10.3200,16339728,TriTrypDB,,
Tb927.10.3230,24453978,TriTrypDB,,
Tb927.10.3250,18364347,TriTrypDB,,
Tb927.10.3260,20382188,TriTrypDB,,
Tb927.10.3310,17227795,TriTrypDB,,
Tb927.10.3340,19346560,TriTrypDB,,
Tb927.10.350,28049148,TriTrypDB,,
Tb927.10.350,24453978,TriTrypDB,,
Tb927.10.3500,16339728,TriTrypDB,,
Tb927.10.3500,19320097,TriTrypDB,,
Tb927.10.3540,17606628,TriTrypDB,,
Tb927.10.3560,27998975,TriTrypDB,,
Tb927.10.3570,15657144,TriTrypDB,,
Tb927.10.3570,17699520,TriTrypDB,,
Tb927.10.3570,19318463,TriTrypDB,,
Tb927.10.3580,18364347,TriTrypDB,,
Tb927.10.3640,25503798,TriTrypDB,,
Tb927.10.3650,15718239,TriTrypDB,,
Tb927.10.3700,19647733,TriTrypDB,,
Tb927.10.3710,10567354,TriTrypDB,,
Tb927.10.3710,9119074,TriTrypDB,,
Tb927.10.3730,34407985,TriTrypDB,,
Tb927.10.380,21474072,TriTrypDB,,
Tb927.10.380,18364347,TriTrypDB,,
Tb927.10.3800,35879525,TriTrypDB,,
Tb927.10.3810,26891179,TriTrypDB,,
Tb927.10.3900,24453978,TriTrypDB,,
Tb927.10.3990,18442996,TriTrypDB,,
Tb927.10.4040,20382188,TriTrypDB,,
Tb927.10.4130,21610103,TriTrypDB,,
Tb927.10.420,28114397,TriTrypDB,,
Tb927.10.4200,31795916,TriTrypDB,,
Tb927.10.4210,28049148,TriTrypDB,,
Tb927.10.4250,20653091,TriTrypDB,,
Tb927.10.4280,21610103,TriTrypDB,,
Tb927.10.4300,20190075,TriTrypDB,,
