pmid,gene_ID,host_db
23190769,PKNH_1245600,PlasmoDB
23190769,PKNH_1301700,PlasmoDB
23190769,PGAL8A_00049100,PlasmoDB
23190769,PGAL8A_00484900,PlasmoDB
23190769,PocGH01_01016800,PlasmoDB
23190769,PRCDC_0707100,PlasmoDB
23190769,PRCDC_1025000,PlasmoDB
23190769,PRCDC_1201200,PlasmoDB
23190769,PRCDC_1438300,PlasmoDB
23190769,PRCDC_1474400,PlasmoDB
23190769,PmUG01_01020600,PlasmoDB
23190769,PRELSG_0107000,PlasmoDB
23190769,PRELSG_0609300,PlasmoDB
23190769,PVP01_0109200,PlasmoDB
23190769,PVP01_0610800,PlasmoDB
23190769,PVP01_1268000,PlasmoDB
23190769,PY17X_0510900,PlasmoDB
23190769,PY17X_1222600,PlasmoDB
23197789,PCHAS_0500900,PlasmoDB
23197789,PCHAS_1145600,PlasmoDB
23197789,PBANKA_0316800,PlasmoDB
23197789,PBANKA_0836800,PlasmoDB
23197789,PBANKA_1200600,PlasmoDB
23197789,PY17X_0317500,PlasmoDB
23197789,PY17X_0840300,PlasmoDB
23224610,PRELSG_0945100,PlasmoDB
23224610,PGAL8A_00375200,PlasmoDB
23239939,TGME49_205670,ToxoDB
23239939,TGME49_218880,ToxoDB
23246819,TGME49_246490,ToxoDB
23250440,PCHAS_1361800,PlasmoDB
23250440,PF3D7_0708800,PlasmoDB
23250440,PF3D7_1344200,PlasmoDB
23250440,PBANKA_1357200,PlasmoDB
23250440,PKNH_1257200,PlasmoDB
23250440,PGAL8A_00255300,PlasmoDB
23250440,PocGH01_12018900,PlasmoDB
23250440,PRCDC_1343200,PlasmoDB
23250440,PmUG01_12020700,PlasmoDB
23250440,PRELSG_1253700,PlasmoDB
23250440,PVP01_1210600,PlasmoDB
23250440,PY17X_1362900,PlasmoDB
23251520,CNA01450,FungiDB
23251520,CNAG_00156,FungiDB
23251596,PKNH_0912800,PlasmoDB
23251596,PKNH_0912900,PlasmoDB
23251596,PKNH_0913000,PlasmoDB
23251596,PKNH_1223800,PlasmoDB
23285059,PCHAS_0723100,PlasmoDB
23285059,PF3D7_0816800,PlasmoDB
23285059,PBANKA_0714000,PlasmoDB
23285059,PKNH_0503600,PlasmoDB
23285059,PRCDC_0816100,PlasmoDB
23285059,PRELSG_0507200,PlasmoDB
23285059,PVP01_0518500,PlasmoDB
23285059,PY17X_0714200,PlasmoDB
23308157,PCHAS_0721700,PlasmoDB
23308157,PCHAS_1137600,PlasmoDB
23308157,PF3D7_0818200,PlasmoDB
23308157,PF3D7_1362100,PlasmoDB
23308157,PBANKA_1138100,PlasmoDB
23308157,PKNH_0501800,PlasmoDB
23308157,PKNH_1109200,PlasmoDB
23308157,PocGH01_05022700,PlasmoDB
23308157,PRCDC_0817500,PlasmoDB
23308157,PRCDC_1361000,PlasmoDB
23308157,PmUG01_05033000,PlasmoDB
23308157,PVP01_0517100,PlasmoDB
23308157,PY17X_0712800,PlasmoDB
23320541,PCHAS_1422400,PlasmoDB
23320541,PF3D7_0714000,PlasmoDB
23320541,PBANKA_1420600,PlasmoDB
23320541,PKNH_1422900,PlasmoDB
23320541,PRCDC_0711300,PlasmoDB
23320541,PRELSG_1420100,PlasmoDB
23320541,PVP01_1423100,PlasmoDB
