"gene_ID","pmid","has_summary","has_PD","host_db"
"PF3D7_1036400",21569184,TRUE,NA,"PlasmoDB"
"CNI03590",21652778,TRUE,NA,"FungiDB"
"CNAG_04217",21652778,TRUE,NA,"FungiDB"
"TGME49_251410",21669237,TRUE,NA,"ToxoDB"
"PF3D7_0323400",21909261,TRUE,NA,"PlasmoDB"
"PF3D7_1115200",21909263,TRUE,NA,"PlasmoDB"
"PKNH_0304000",22024312,TRUE,NA,"PlasmoDB"
"PVP01_0305300",22024312,TRUE,NA,"PlasmoDB"
"Afu2g04210",22046314,TRUE,NA,"FungiDB"
"CNC01390",22174677,TRUE,NA,"FungiDB"
"CNAG_01626",22174677,TRUE,NA,"FungiDB"
"PF3D7_1103700",22293287,TRUE,NA,"PlasmoDB"
"TGME49_210810",22387554,TRUE,NA,"ToxoDB"
"PF3D7_1138200",22443220,TRUE,NA,"PlasmoDB"
"NCU03770",22701726,TRUE,NA,"FungiDB"
"CNAG_01614",22719877,TRUE,NA,"FungiDB"
"CNF03700",22731401,TRUE,NA,"FungiDB"
"CNAG_06646",22731401,TRUE,NA,"FungiDB"
"CNAG_00795",22737071,TRUE,NA,"FungiDB"
"TGME49_272900",22860032,TRUE,NA,"ToxoDB"
"PF3D7_0309600",22912579,TRUE,NA,"PlasmoDB"
"CNAG_05392",22916306,TRUE,NA,"FungiDB"
"PF3D7_0201800",22970262,TRUE,NA,"PlasmoDB"
"PRCDC_0200900",22970262,TRUE,NA,"PlasmoDB"
"PF3D7_0207500",22984267,TRUE,NA,"PlasmoDB"
"PF3D7_0613300",23049965,TRUE,NA,"PlasmoDB"
"CNAG_05794",23055925,TRUE,NA,"FungiDB"
"AN5525",23106124,TRUE,NA,"FungiDB"
"PBANKA_1427100",23137753,TRUE,NA,"PlasmoDB"
"TGME49_280700",23159057,TRUE,NA,"ToxoDB"
"PF3D7_1149000",23185236,TRUE,NA,"PlasmoDB"
"PRELSG_0945100",23224610,TRUE,NA,"PlasmoDB"
"PGAL8A_00375200",23224610,TRUE,NA,"PlasmoDB"
"TGME49_205670",23239939,TRUE,NA,"ToxoDB"
"TGME49_218880",23239939,TRUE,NA,"ToxoDB"
"TGME49_246490",23246819,TRUE,NA,"ToxoDB"
"CNA01450",23251520,TRUE,NA,"FungiDB"
"CNAG_00156",23251520,TRUE,NA,"FungiDB"
"PY17X_0719200",23356439,TRUE,NA,"PlasmoDB"
"Afu7g00170",23368997,TRUE,NA,"FungiDB"
"Afu7g00130",23368997,TRUE,NA,"FungiDB"
"PY17X_0816300",23421981,TRUE,NA,"PlasmoDB"
"PF3D7_1360100",23437009,TRUE,NA,"PlasmoDB"
"TGME49_290040",23443656,TRUE,NA,"ToxoDB"
"CNAG_05449",23498952,TRUE,NA,"FungiDB"
"CNAG_00306",23498952,TRUE,NA,"FungiDB"
"PVP01_1403500",23505486,TRUE,NA,"PlasmoDB"
"PBANKA_1013300",23544094,TRUE,NA,"PlasmoDB"
"CNAG_02579",23550133,TRUE,NA,"FungiDB"
"PY17X_1357700",23587146,TRUE,NA,"PlasmoDB"
